number_of_elements,mean_atomic_mass,wtd_mean_atomic_mass,gmean_atomic_mass,wtd_gmean_atomic_mass,entropy_atomic_mass,wtd_entropy_atomic_mass,range_atomic_mass,wtd_range_atomic_mass,std_atomic_mass,wtd_std_atomic_mass,mean_fie,wtd_mean_fie,gmean_fie,wtd_gmean_fie,entropy_fie,wtd_entropy_fie,range_fie,wtd_range_fie,std_fie,wtd_std_fie,mean_atomic_radius,wtd_mean_atomic_radius,gmean_atomic_radius,wtd_gmean_atomic_radius,entropy_atomic_radius,wtd_entropy_atomic_radius,range_atomic_radius,wtd_range_atomic_radius,std_atomic_radius,wtd_std_atomic_radius,mean_Density,wtd_mean_Density,gmean_Density,wtd_gmean_Density,entropy_Density,wtd_entropy_Density,range_Density,wtd_range_Density,std_Density,wtd_std_Density,mean_ElectronAffinity,wtd_mean_ElectronAffinity,gmean_ElectronAffinity,wtd_gmean_ElectronAffinity,entropy_ElectronAffinity,wtd_entropy_ElectronAffinity,range_ElectronAffinity,wtd_range_ElectronAffinity,std_ElectronAffinity,wtd_std_ElectronAffinity,mean_FusionHeat,wtd_mean_FusionHeat,gmean_FusionHeat,wtd_gmean_FusionHeat,entropy_FusionHeat,wtd_entropy_FusionHeat,range_FusionHeat,wtd_range_FusionHeat,std_FusionHeat,wtd_std_FusionHeat,mean_ThermalConductivity,wtd_mean_ThermalConductivity,gmean_ThermalConductivity,wtd_gmean_ThermalConductivity,entropy_ThermalConductivity,wtd_entropy_ThermalConductivity,range_ThermalConductivity,wtd_range_ThermalConductivity,std_ThermalConductivity,wtd_std_ThermalConductivity,mean_Valence,wtd_mean_Valence,gmean_Valence,wtd_gmean_Valence,entropy_Valence,wtd_entropy_Valence,range_Valence,wtd_range_Valence,std_Valence,wtd_std_Valence,critical_temp
2,82.76819,87.837285,82.1449352023604,87.3601085449525,0.685626534818864,0.509574943189336,20.27638,51.522285,10.13819,8.77993008839336,711.8,687.7,710.166177735888,686.488365193129,0.690852720514532,0.589408647430548,96.4,307.7,48.2,41.7424244624099,161.5,179.75,157.321327225523,176.492557323683,0.667385793066912,0.461942675017015,73,117.25,36.5,31.609927238132,6946.5,7758.25,6754.11800311484,7608.07408525273,0.665581639025596,0.458299355156303,3247.0,5096.75,1623.5,1405.99224304404,104.05,95.825,102.741422999684,94.8691132812589,0.680597250228517,0.622556686319778,32.9,35.575,16.45,14.246117892254,29.3,28.05,29.1931498814362,27.9709924175474,0.689502638551405,0.596156720535418,5.0,12.15,2.5,2.1650635094611,57.0,55.5,56.9209978830308,55.4412651883384,0.691761498852418,0.58352747177781,6.0,25.5,3.0,2.59807621135332,4.5,4.75,4.47213595499958,4.72870804501588,0.686961576597323,0.514653165428929,1,2.75,0.5,0.433012701892219,6.4
4,76.4445625,81.45675,59.3566724745425,68.2296174829281,1.1995407452483,1.10818929255145,121.3276,36.9506571428571,43.8233541228786,40.6122928726987,794.0,738.357142857143,741.629348855485,702.424196542615,1.31500430814302,1.28243898817756,810.6,231.371428571429,311.743492313793,255.465227475247,164.5,171.571428571429,139.000513752081,153.255987081769,1.25670056650299,1.16683237250706,205,65.4285714285714,77.5258021564434,67.9114068744969,4235.85725,5481.91842857143,669.556587809389,1780.07744735046,1.01540712310099,0.810984912286634,8958.571,3839.79585714286,3194.93894591629,3275.96830700402,77.2375,80.6,53.5279646494387,56.4359293939758,1.10518217403612,0.953371383883153,127.05,46.9714285714286,54.8307552268797,52.6502950744682,8.1805,9.56028571428571,4.03556899860879,6.22966261251767,1.11209819664271,0.9751483337237,12.878,5.58257142857143,4.9481552875794,4.35965010766053,108.756645,179.003797142857,7.55238461047956,26.5786364903901,0.336261915781173,0.201966126461713,399.97342,171.424774285714,168.301046773239,191.475654911147,2.25,2.14285714285714,2.21336383940064,2.1192680453341,1.36892236074022,1.30952583530407,1,0.571428571428571,0.433012701892219,0.349927106111883,91.2
5,88.936744,51.0904309633028,70.3589754653339,34.7839913276291,1.44582439252613,1.52509215619784,122.90607,10.4386670489297,46.4823352229548,44.2612331593993,743.42,1006.99143730887,696.313849401554,942.154531747987,1.53852655655114,0.933541837695222,810.6,690.07629969419,296.615154029594,340.103710779082,170.6,111.914373088685,148.737352419316,88.4580691314587,1.50699778198989,1.50987284719731,205,25.802752293578,70.4062497225921,75.9911994431112,4617.8858,3035.17716513761,1043.15379207048,66.2056925743865,1.32454830505054,0.97809466794421,8958.571,2054.27237614679,2958.0214919041,3686.00872415946,71.69,110.674694189602,52.6969674774445,90.7546095946531,1.35405196166708,0.815880497036637,127.05,75.3612385321101,50.2814916246525,47.2736960417176,7.8044,5.15456880733945,4.41155737208488,1.31029856067861,1.37461505205449,1.15310849771093,12.878,2.88442201834862,4.4892312749512,5.62224332510907,89.605316,95.6183628746177,8.41891159935983,1.0583885920528,0.457810241617619,0.20958260960055,399.97342,91.7287319266055,155.329609173008,166.192923372777,2.4,2.11467889908257,2.35215804504935,2.09519257999396,1.58902691517397,1.31418867043836,1,0.967889908256881,0.489897948556636,0.318634036455271,38.0
4,76.5177175,56.1494324571429,59.3100961333418,35.5621239148924,1.19727303349869,1.04213193122637,122.90607,31.9206896,44.2894585275144,51.8155706127112,787.05,1011.64228571429,734.219624171273,940.46958993414,1.31300802421591,0.802473017777649,772.0,731.52,314.505965762178,353.685875537567,151.75,104.68,131.302196551623,84.2364517595722,1.27527399052522,1.21577255513027,171,41.52,65.5796271718588,67.5809812637507,4434.35725,2916.268,674.484751445268,52.8471187925951,0.995982779568411,0.807732064463868,8958.571,1544.46342857143,3402.85619588643,3563.51285337929,79.6075,111.226742857143,48.4772646848066,95.8821060786342,1.09667176877521,0.773968970501308,135.97,81.2046857142857,54.3730969207199,43.6282436857743,6.9055,3.85657142857143,3.47947484936327,1.04240800249843,1.08857534188499,1.01666890236165,12.878,1.74457142857143,4.59906411675245,4.67377995866738,112.006645,61.6266171428571,8.33981834610162,0.637507382461818,0.403693221013522,0.304547088068078,399.97342,57.1276685714286,166.742351106334,138.361102731057,2.25,2.25142857142857,2.21336383940064,2.21464627050616,1.36892236074022,1.07885507894293,1,1.07428571428571,0.433012701892219,0.43383435191091,19.0
3,104.60849,89.5589787014726,101.71981830347,88.4812101027516,1.07025754840324,0.944283837165271,59.94547,33.5414229049531,25.2251478732408,15.1598287011902,722.1,812.626104417671,703.695275661315,799.63018613483,1.07278960884457,0.79613800866462,399.3,469.515796519411,165.133461176104,141.219887223702,162.666666666667,143.728246318608,156.26983214935,137.110826743888,1.06214619802922,0.913763746394103,92,64.0361445783132,42.2400547137693,43.7436831775972,7081.66666666667,7095.66532797858,6727.40435925847,6633.55588582717,1.04658652380901,0.84152414492464,5461.0,3741.81793842035,2325.54428515611,2627.64262756986,106.466666666667,137.813253012048,89.3760735033333,121.321039688117,0.92574720456373,0.621554370884923,147.0,102.106425702811,64.4065386604669,63.2554763337141,15.9,17.7457831325301,10.6990595149736,11.6813486193299,0.726384252734896,0.547496642153747,30.6,14.0614457831325,14.2175947332873,14.955961870473,50.84,56.9196787148594,9.79461039202088,6.00707154760631,0.313840603930389,0.106067649535639,138.48,55.5448460508701,62.5463923819752,67.3079929723734,5.0,5.81124497991968,4.7622031559046,5.74395386143099,1.05492016798614,0.803989874147446,3,3.02409638554217,1.4142135623731,0.728448078201488,11.0
5,72.32465,49.7153629822344,58.6371017364918,33.8330665343074,1.44461203001618,1.42823403677826,121.3276,17.9251468074036,40.053511822236,43.8277117420183,787.02,1014.67288337174,745.091012254164,949.047955213785,1.55174132140317,0.950064763993473,810.6,693.605463465398,279.181098214045,340.69624426264,162.8,112.788523006021,142.245338798365,88.1039947272219,1.50445986331947,1.49142312240335,205,30.6548725191407,69.4244913557168,79.045222060535,4963.4858,2804.65697888947,1096.14728383779,57.9645798427557,1.3180416651861,1.14856354658204,8958.571,1597.66220642236,3206.84909554637,3541.09693659622,65.23,105.711179662529,42.6550321302085,80.7043232056593,1.25339388367421,0.743876641528569,127.05,78.1782873708466,54.6063146531608,52.5367208930073,9.3044,5.11221036200104,5.16059335658217,1.26141274417731,1.39019736061512,1.33953206821902,13.578,2.21403657176838,4.96386920053299,5.67239933605326,102.805316,78.8372928521519,12.0779352534017,0.899737847469433,0.713636561856581,0.411791287758044,399.97342,71.3448226611165,151.002871308593,150.587176077438,2.4,2.11893258009366,2.35215804504935,2.09880931696072,1.58902691517397,1.3259485154685,1,0.974206496692188,0.489897948556636,0.323709161881348,62.0
5,74.23165,51.2466529230769,60.5152205498845,34.9358013946071,1.45374713602643,1.29671731026674,121.3276,21.0920261538462,39.4458745649529,44.1924205641059,816.36,1003.70966153846,771.891022146416,937.65786060822,1.55250636371223,0.893927088666498,810.6,706.566107692308,282.395259167005,342.350918685953,160.0,114.536846153846,139.595298984601,89.6841811516621,1.50121758487734,1.3444707552554,205,38.8466153846154,69.9228145886591,79.2348089544819,4816.6858,2951.48176923077,1074.9034884109,66.3340583474049,1.32221306724433,0.822440652091943,8958.571,2062.09823076923,3084.72934185263,3637.75611364781,62.09,109.105476923077,26.1868243919949,86.33546253781,1.13042757181707,0.762488876885011,141.0,76.7299615384615,57.6447430387195,49.5081286643867,8.0144,5.24721153846154,4.54968458544814,1.33650381729976,1.38465705322041,1.04897684741466,12.878,3.01206538461538,4.43821466808445,5.64582827212522,111.005316,96.2481584615385,13.1311731511324,1.09558491894855,0.785623847019654,0.208945371953646,399.97342,92.0779953846154,150.600199073704,166.292050980609,2.2,2.07692307692308,2.1689435423954,2.06336223306145,1.59416669911802,1.20548339627628,1,1.07584615384615,0.4,0.266469355010596,84.0
5,88.936744,81.5469482857143,70.3589754653339,68.274190603026,1.44582439252613,1.35031441581684,122.90607,29.1034,46.4823352229548,40.7378371232448,743.42,740.562857142857,696.313849401554,705.401077452017,1.53852655655114,1.38519527249166,810.6,288.365714285714,296.615154029594,253.578963847797,170.6,168.257142857143,148.737352419316,150.99250757725,1.50699778198989,1.3538061134592,205,55.2857142857143,70.4062497225921,65.218464895038,4617.8858,5632.547,1043.15379207048,1837.98059993156,1.32454830505054,0.959035548703756,8958.571,3839.79585714286,2958.0214919041,3242.26491584373,71.69,82.5457142857143,52.6969674774445,60.3186334424091,1.35405196166708,1.04801697916354,127.05,48.5571428571429,50.2814916246525,50.803472000907,7.8044,9.46314285714286,4.41155737208488,6.14519951192898,1.37461505205449,1.07368940214403,12.878,5.58257142857143,4.4892312749512,4.41196060818354,89.605316,178.718082857143,8.41891159935983,26.0889587363082,0.457810241617619,0.208196002636137,399.97342,171.424774285714,155.329609173008,191.719262287919,2.4,2.2,2.35215804504935,2.1689435423954,1.58902691517397,1.47634435993754,1,0.685714285714286,0.489897948556636,0.4,50.1
5,103.41069,81.7768266666667,76.518607548705,48.960066954375,1.3864407872645,1.26762558256895,192.981,39.0165244444444,66.3780968357213,75.0158651967336,767.32,942.727222222222,723.902644773863,881.201398118506,1.54694242839648,1.13556933414254,786.5,560.195555555555,285.703926469343,337.475591517463,160.4,119.555555555556,140.028768390999,97.6749754232059,1.50237487809263,1.51327970635643,199,29.1722222222222,69.4365897780126,70.7216941588036,5602.2858,3892.46844444444,1169.39325419055,147.736562528802,1.29583642829554,1.13546755984514,9778.571,2118.36488888889,3741.88378006674,4209.55154446016,82.626,100.226611111111,55.6271536507856,69.1691820954439,1.38661808655755,1.01961403944644,135.97,62.1361666666667,48.6521562112102,50.6412445121331,7.8244,5.68922222222222,4.45243890740571,1.82497065948355,1.38235294573422,1.29094321984064,12.878,2.263,4.38116667566985,5.129710740768,91.205316,53.1840355555556,8.27071908603348,1.30971626437159,0.484926962599432,0.567757762500578,399.97342,44.4326311111111,154.832782299613,123.268802074623,3.0,2.73888888888889,2.75945932292243,2.51552965676687,1.52463352843489,1.38258084871767,3,0.905555555555556,1.26491106406735,1.25770465040657,35.0
4,76.5177175,57.4682016857143,59.3100961333418,35.9859965070231,1.19727303349869,0.909036516720004,122.90607,37.7456302571429,44.2894585275144,53.2330042127425,787.05,1011.43914285714,734.219624171273,940.119131398463,1.31300802421591,0.76643585429565,772.0,745.637142857143,314.505965762178,353.953707520965,151.75,104.062857142857,131.302196551623,83.9854049667125,1.27527399052522,1.08546859793221,171,52.1657142857143,65.5796271718588,66.6371971873037,4434.35725,3006.67942857143,674.484751445268,54.0132794930623,0.995982779568411,0.724395228960074,8958.571,1702.50342857143,3402.85619588643,3599.52391504372,79.6075,112.331685714286,48.4772646848066,101.008568605408,1.09667176877521,0.780577443822201,135.97,81.3726,54.3730969207199,41.4525548861218,6.9055,3.81285714285714,3.47947484936327,1.0360241858797,1.08857534188499,0.892456619541381,12.878,1.80285714285714,4.59906411675245,4.64266824231102,112.006645,61.0609028571428,8.33981834610162,0.621476725944817,0.403693221013522,0.257234577949883,399.97342,57.1276685714286,166.742351106334,138.513705264074,2.25,2.27714285714286,2.21336383940064,2.23785750929271,1.36892236074022,1.01110503637582,1,1.12571428571429,0.433012701892219,0.447587638209045,8.02
